run_id,run_start_date,unit_label,group_label,y_bin_observed,p_high,y_bin_pred,misclass_flag,near_boundary_flag,strong_contradiction_flag,mdistance_z,iso_anomaly_z,input_anomaly_score_z,confidence,contextual_anomaly_score
RUN_072,2025-08-07,GR06,group_1,0,0.2937904761904762,0,0,0,0,5.747958849281309,4.339703232947844,5.043831041114577,0.2062095238095238,2.573467901509669
RUN_094,2025-10-12,GR04,group_2,0,0.5443333333333333,1,1,1,0,2.857238073274304,2.4572602342167835,2.6572491537455436,0.044333333333333336,2.339707910206105
RUN_001,2025-01-06,GR01,group_3,1,0.5667,1,0,1,0,4.016097771409194,3.3360222468420027,3.676060009125598,0.06669999999999998,1.854705004562799
RUN_115,2025-12-14,GR01,group_1,0,0.6682571428571429,1,1,0,1,0.37959658623298376,0.6357664065614875,0.5076814963972356,0.16825714285714288,1.7959050339129035
RUN_091,2025-10-03,GR01,group_1,1,0.19603333333333325,0,1,0,1,0.2016384553489896,0.4805182420976126,0.3410783487233011,0.3039666666666667,1.7465308410283173
RUN_060,2025-07-02,GR06,group_1,1,0.1718666666666667,0,1,0,1,0.2014470951242698,0.22696865345641382,0.21420787429034183,0.3281333333333333,1.6891372704785044
RUN_035,2025-04-18,GR05,group_2,1,0.5866,1,0,1,0,4.311801949637548,2.223943758398916,3.267872854018232,0.08660000000000001,1.6555864270091158
RUN_109,2025-11-26,GR01,group_2,0,0.6658000000000002,1,1,0,1,-0.17146741809320162,0.5583495134956402,0.19344104770121928,0.16580000000000017,1.6381705238506097
RUN_086,2025-09-18,GR02,group_1,1,0.38470000000000004,0,1,0,1,-0.1879586970830291,0.5701467941659975,0.19109404854148418,0.11529999999999996,1.624372024270742
RUN_040,2025-05-03,GR04,group_3,1,0.31023333333333336,0,1,0,1,-0.44387479977983263,-0.1472775617271499,-0.29557618075349124,0.18976666666666664,1.399653576289921
RUN_089,2025-09-27,GR05,group_3,1,0.2828166666666666,0,1,0,1,-0.6571945908504474,-0.8066218033323201,-0.7319081970913838,0.2171833333333334,1.1883417347876415
RUN_113,2025-12-08,GR05,group_2,0,0.6463523809523808,1,1,0,1,-0.6878370213849809,-0.7964083545888802,-0.7421226879869305,0.1463523809523808,1.16552675124463
RUN_093,2025-10-09,GR03,group_2,0,0.2613190476190477,0,0,0,0,1.9298725458788808,2.3511778499479945,2.140525197913438,0.23868095238095233,1.129932837051957
RUN_106,2025-11-17,GR04,group_2,0,0.5849190476190478,1,1,1,0,-0.08904920600095528,0.07985984797221135,-0.004594679014371966,0.08491904761904778,1.018932422397576
RUN_081,2025-09-03,GR03,group_1,0,0.40660952380952387,0,0,1,0,1.8727229343562333,1.6483923786758237,1.7605576565160286,0.09339047619047613,0.9036264473056334
RUN_039,2025-04-30,GR03,group_1,0,0.5256333333333334,1,1,1,0,-0.24752329405841877,-0.1760280081893414,-0.21177565112388008,0.025633333333333397,0.9005205077713934
RUN_116,2025-12-17,GR02,group_3,1,0.7420999999999999,1,0,0,0,1.8945533191935726,1.3894230522689137,1.6419881857312433,0.24209999999999987,0.8815190928656216
RUN_062,2025-07-08,GR02,group_1,0,0.2024380952380952,0,0,0,0,1.9307227844218093,1.214684293042733,1.5727035387322712,0.2975619047619048,0.8607422455566118
RUN_101,2025-11-02,GR05,group_1,0,0.5208666666666665,1,1,1,0,-0.5031450956470489,-0.2750398731848943,-0.3890924844159716,0.020866666666666478,0.8106704244586809
RUN_098,2025-10-24,GR02,group_3,1,0.4899666666666667,0,1,1,0,-0.3831619471892209,-0.4755882863522894,-0.4293751167707551,0.010033333333333283,0.7878207749479558
RUN_043,2025-05-12,GR01,group_3,0,0.28674285714285713,0,0,0,0,1.1977284914627317,1.6674692165449752,1.4325988540038535,0.21325714285714287,0.7696137127162125
RUN_107,2025-11-20,GR05,group_2,0,0.5922333333333335,1,1,1,0,-0.6333655842809421,-0.7459281706797579,-0.68964687748035,0.0922333333333335,0.6782348945931584
RUN_118,2025-12-23,GR04,group_1,1,0.7002333333333332,1,0,0,0,0.9153654973662082,1.505106718249601,1.2102361078079045,0.20023333333333315,0.6551763872372856
RUN_082,2025-09-06,GR04,group_1,0,0.21944761904761897,0,0,0,0,0.95346337089984,1.2190755493599335,1.0862694601298868,0.280552380952381,0.6132728253030386
RUN_119,2025-12-26,GR05,group_1,1,0.805857142857143,1,0,0,0,0.5535551245903154,1.487712117981826,1.0206336212860707,0.30585714285714305,0.5867810963573211
RUN_092,2025-10-06,GR02,group_2,1,0.46283333333333326,0,1,1,0,-0.673118212357393,-1.023423233435004,-0.8482707228961985,0.03716666666666674,0.5851563052185674
RUN_012,2025-02-08,GR06,group_3,1,0.7884428571428572,1,0,0,0,0.7397332946073302,0.9804917211275328,0.8601125078674314,0.2884428571428572,0.5021669682194301
RUN_096,2025-10-18,GR06,group_2,0,0.2745999999999999,0,0,0,0,0.43958848797902933,1.3395471583164231,0.8895678231477262,0.2254000000000001,0.5011339115738631
RUN_111,2025-12-02,GR03,group_3,1,0.7253666666666668,1,0,0,0,0.8953898472955509,0.8330432634745792,0.8642165553850651,0.22536666666666683,0.4884499443591993
RUN_005,2025-01-18,GR05,group_1,1,0.8091,1,0,0,0,0.3646112467565107,1.2490738789441964,0.8068425628503535,0.30910000000000004,0.48069628142517673
